title,type,price,num
哈斯福 电脑中频治疗仪 家用多功能颈椎腰椎针灸理疗仪 医用其他经络通按摩电疗仪器 针灸理疗、经络疏通,医药保健--保健器械--理疗仪,0,0
欧姆龙(OMRON)HV-F021低频 电极理疗仪家庭理疗颈椎理疗器按摩仪家用按摩器四肢仪器全身多部位多功能经络（黑色）,医药保健--保健器械--理疗仪,0,0
欧姆龙(OMRON)HV-F021-PK按摩仪 多功能理疗仪 电疗仪 按摩器 家庭理疗 低频 家用 颈椎 多部位（粉色）,医药保健--保健器械--理疗仪,0,0
哈斯福 电脑中频理疗仪 HZ-600 家用多功能 颈椎 医用腰椎针灸治疗仪 其他经络通电疗仪器 通用辅助理疗 电极片*2,医药保健--保健器械--理疗仪,0,0
川木腰椎治疗仪医用腰椎间盘突出理疗仪 家用低中频按摩器腰疼,医药保健--保健器械--理疗仪,0,0
欧姆龙(OMRON)按摩仪 关节炎理疗仪 多功能 腰椎 电疗仪 按摩器 家庭理疗 低频 家用 多部位 颈椎 保健 医用,医药保健--保健器械--理疗仪,0,0
哈斯福 中频治疗仪 医用多功能颈椎电子针灸理疗仪 家用经络腰椎其他按摩电疗仪器（5年包换新）,医药保健--保健器械--理疗仪,0,0
华络疼痛治疗仪 家用理疗仪 腰椎间盘突出治疗仪 低频关节炎肩周炎颈椎理疗仪 YQ-D0202,医药保健--保健器械--理疗仪,0,0
华络2型糖尿病理疗仪 低频电子脉冲家用型高血糖高血脂康复器糖尿病并发症 糖尿病康复理疗仪YQ-D401T,医药保健--保健器械--理疗仪,0,0
华络(hualuojk.com)疼痛理疗仪 腰椎间盘突出理疗仪 家用多功能低频肩周炎颈椎理疗仪 其他便携YQ-D0201,医药保健--保健器械--理疗仪,0,0
全家享用】可孚神灯仪 神灯频谱理疗仪烤灯家用医用赠磁疗贴穴位图全身适用腰酸背痛老人 可苏宁实体店现金付款Cofoe,医药保健--保健器械--理疗仪,0,0
國仁 神灯tdp红外线治疗器烤电理疗仪家用远医用医疗多功能红光烤灯 立式L-1-8A升级9A,医药保健--保健器械--理疗仪,0,0
诺仪 腰部理疗仪JQ-883 家用腰间盘理疗仪腰椎间盘牵引器突出腰疼按摩腰肌劳损通用电疗仪,医药保健--保健器械--理疗仪,0,0
富林(FOLEE)KD系列低频理疗仪KD001Y语音款家用指压揉捏颈椎腰椎拍打按摩仪贴片按摩器低中频理疗仪肩颈按摩仪,医药保健--保健器械--理疗仪,0,0
诺仪高电位治疗仪 高电位理疗仪家用体验馆充电仪器 高电位理疗机器充电机器 诺仪高电位治疗仪标配+2张串联坐垫,医药保健--保健器械--理疗仪,0,0
赠膏药贴】可孚红外线理疗仪神灯频谱理疗仪CQ-32家用进口灯泡台式电烤灯医用腰酸背痛关节其他疼痛老人男女Cofoe,医药保健--保健器械--理疗仪,0,0
